construction_id,attack_id,attack_name,target,detected,accepted,detection_mechanism,security_control,exception_type,execution_time_ms
ADAPTIVE-BALANCED-V1,ATK-00,Baseline Legitimate Transmission,AIRCRAFT-001-FCC -> GROUND-STATION-001 Secure Session,False,True,Cryptographic Verification Passed,End-to-End AEAD & Session Validation,None,386.3814
ADAPTIVE-BALANCED-V1,ATK-01,Ciphertext Tampering,AES-256-GCM Encrypted Payload,True,False,AES-GCM Authentication Tag Validation,AEAD Integrity Verification,AuthenticationTagError,347.8653
ADAPTIVE-BALANCED-V1,ATK-02,Authentication Tag Tampering,AES-256-GCM Authentication Tag,True,False,Cryptographic Tag Invariant Check,AEAD Tag Authenticity,AuthenticationTagError,469.1328
ADAPTIVE-BALANCED-V1,ATK-03,AAD Metadata Tampering,Channel Additional Authenticated Data (AAD),True,False,AAD Cryptographic Binding Verification,AEAD Header Binding,AuthenticationTagError,187.3093
ADAPTIVE-BALANCED-V1,ATK-04,Ed25519 Signature Forgery,Classical Handshake Signature Layer,True,False,Ed25519 Public Key Cryptographic Verification,Mutual Classical Authentication,ConstructionAuthenticationError,186.0131
ADAPTIVE-BALANCED-V1,ATK-05,SLH-DSA Signature Forgery,Post-Quantum SLH-DSA-SHAKE_128F Signature Layer,True,False,Bypassed (Construction uses Classical Auth),Hybrid Dual Authentication (SLH-DSA),N/A (Classical Only),295.3196
ADAPTIVE-BALANCED-V1,ATK-06,Transcript Modification / Downgrade,Session Construction ID & Transcript Binding,True,False,Canonical Transcript Binding & AAD Session Invariant Check,Downgrade Attack Defense,ConstructionError,257.5087
ADAPTIVE-BALANCED-V1,ATK-07,Cross-Session Injection,Session Isolation Boundary,True,False,AES-GCM Key & AAD Mismatch Detection,Cryptographic Session Separation,AuthenticationTagError,230.3295
ADAPTIVE-BALANCED-V1,ATK-08,Receiver Routing Manipulation,Component Identity Verification,True,False,Receiver Component ID Invariant Validation,Entity Identity Authorization,ConstructionError,440.5982
ADAPTIVE-BALANCED-V1,ATK-09,Message Replay Attack,Anti-Replay Nonce Filter,True,False,Session Nonce Cache & Monotonic Freshness Filter,Anti-Replay Protection,ConstructionReplayError,660.7328
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-00,Baseline Legitimate Transmission,AIRCRAFT-001-FCC -> GROUND-STATION-001 Secure Session,False,True,Cryptographic Verification Passed,End-to-End AEAD & Session Validation,None,3509.1689
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-01,Ciphertext Tampering,AES-256-GCM Encrypted Payload,True,False,AES-GCM Authentication Tag Validation,AEAD Integrity Verification,AuthenticationTagError,2883.624
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-02,Authentication Tag Tampering,AES-256-GCM Authentication Tag,True,False,Cryptographic Tag Invariant Check,AEAD Tag Authenticity,AuthenticationTagError,545.0275
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-03,AAD Metadata Tampering,Channel Additional Authenticated Data (AAD),True,False,AAD Cryptographic Binding Verification,AEAD Header Binding,AuthenticationTagError,542.8038
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-04,Ed25519 Signature Forgery,Classical Handshake Signature Layer,True,False,Ed25519 Public Key Cryptographic Verification,Mutual Classical Authentication,ConstructionAuthenticationError,43.2246
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-05,SLH-DSA Signature Forgery,Post-Quantum SLH-DSA-SHAKE_128F Signature Layer,True,False,SLH-DSA FIPS 205 Signature Verification,Hybrid Dual Authentication (SLH-DSA),ConstructionAuthenticationError,558.5214
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-06,Transcript Modification / Downgrade,Session Construction ID & Transcript Binding,True,False,Canonical Transcript Binding & AAD Session Invariant Check,Downgrade Attack Defense,ConstructionError,528.3753
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-07,Cross-Session Injection,Session Isolation Boundary,True,False,AES-GCM Key & AAD Mismatch Detection,Cryptographic Session Separation,AuthenticationTagError,1016.0323
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-08,Receiver Routing Manipulation,Component Identity Verification,True,False,Receiver Component ID Invariant Validation,Entity Identity Authorization,ConstructionError,540.5934
ADAPTIVE-HIGH-ASSURANCE-V1,ATK-09,Message Replay Attack,Anti-Replay Nonce Filter,True,False,Session Nonce Cache & Monotonic Freshness Filter,Anti-Replay Protection,ConstructionReplayError,521.1799
ADAPTIVE-CRITICAL-V1,ATK-00,Baseline Legitimate Transmission,AIRCRAFT-001-FCC -> GROUND-STATION-001 Secure Session,False,True,Cryptographic Verification Passed,End-to-End AEAD & Session Validation,None,533.1232
ADAPTIVE-CRITICAL-V1,ATK-01,Ciphertext Tampering,AES-256-GCM Encrypted Payload,True,False,AES-GCM Authentication Tag Validation,AEAD Integrity Verification,AuthenticationTagError,543.0944
ADAPTIVE-CRITICAL-V1,ATK-02,Authentication Tag Tampering,AES-256-GCM Authentication Tag,True,False,Cryptographic Tag Invariant Check,AEAD Tag Authenticity,AuthenticationTagError,546.9083
ADAPTIVE-CRITICAL-V1,ATK-03,AAD Metadata Tampering,Channel Additional Authenticated Data (AAD),True,False,AAD Cryptographic Binding Verification,AEAD Header Binding,AuthenticationTagError,540.1942
ADAPTIVE-CRITICAL-V1,ATK-04,Ed25519 Signature Forgery,Classical Handshake Signature Layer,True,False,Ed25519 Public Key Cryptographic Verification,Mutual Classical Authentication,ConstructionAuthenticationError,40.4581
ADAPTIVE-CRITICAL-V1,ATK-05,SLH-DSA Signature Forgery,Post-Quantum SLH-DSA-SHAKE_128F Signature Layer,True,False,SLH-DSA FIPS 205 Signature Verification,Hybrid Dual Authentication (SLH-DSA),ConstructionAuthenticationError,2643.9875
ADAPTIVE-CRITICAL-V1,ATK-06,Transcript Modification / Downgrade,Session Construction ID & Transcript Binding,True,False,Canonical Transcript Binding & AAD Session Invariant Check,Downgrade Attack Defense,ConstructionError,3687.3769
ADAPTIVE-CRITICAL-V1,ATK-07,Cross-Session Injection,Session Isolation Boundary,True,False,AES-GCM Key & AAD Mismatch Detection,Cryptographic Session Separation,AuthenticationTagError,10243.7126
ADAPTIVE-CRITICAL-V1,ATK-08,Receiver Routing Manipulation,Component Identity Verification,True,False,Receiver Component ID Invariant Validation,Entity Identity Authorization,ConstructionError,3758.8417
ADAPTIVE-CRITICAL-V1,ATK-09,Message Replay Attack,Anti-Replay Nonce Filter,True,False,Session Nonce Cache & Monotonic Freshness Filter,Anti-Replay Protection,ConstructionReplayError,4269.4347
